Unnamed: 0.1,Unnamed: 0,user_id,username,date,tweet,sentiment,negative_count,positive_count,neutral_count,keyPhrases,keyWord
0,0,324546384,pnovelistgale,2022-04-11,Ah well the great fenland of that year are well . Sorry about the traumatic death that goes with them . ( Or have you not got that far …?),Mixed,1,1,1,"['great fenland', 'traumatic death', 'year']",great fenland
0,0,324546384,pnovelistgale,2022-04-11,Ah well the great fenland of that year are well . Sorry about the traumatic death that goes with them . ( Or have you not got that far …?),Mixed,1,1,1,"['great fenland', 'traumatic death', 'year']",traumatic death
0,0,324546384,pnovelistgale,2022-04-11,Ah well the great fenland of that year are well . Sorry about the traumatic death that goes with them . ( Or have you not got that far …?),Mixed,1,1,1,"['great fenland', 'traumatic death', 'year']",year
6,6,570064843,amyl_iom,2022-04-11,"Gosh - an almighty flood AND ?! Thinking of you all ( those not in SA , is a way to distribute power when demand for electricity is greater than the primary power source can supply . Usually 2 - 4 loss of power in each area per day )",Mixed,1,1,1,"['primary power source', 'almighty flood', '2 - 4 loss', 'Gosh', 'SA', 'way', 'demand', 'electricity', 'area', 'day']",primary power source
6,6,570064843,amyl_iom,2022-04-11,"Gosh - an almighty flood AND ?! Thinking of you all ( those not in SA , is a way to distribute power when demand for electricity is greater than the primary power source can supply . Usually 2 - 4 loss of power in each area per day )",Mixed,1,1,1,"['primary power source', 'almighty flood', '2 - 4 loss', 'Gosh', 'SA', 'way', 'demand', 'electricity', 'area', 'day']",almighty flood
6,6,570064843,amyl_iom,2022-04-11,"Gosh - an almighty flood AND ?! Thinking of you all ( those not in SA , is a way to distribute power when demand for electricity is greater than the primary power source can supply . Usually 2 - 4 loss of power in each area per day )",Mixed,1,1,1,"['primary power source', 'almighty flood', '2 - 4 loss', 'Gosh', 'SA', 'way', 'demand', 'electricity', 'area', 'day']",2 - 4 loss
6,6,570064843,amyl_iom,2022-04-11,"Gosh - an almighty flood AND ?! Thinking of you all ( those not in SA , is a way to distribute power when demand for electricity is greater than the primary power source can supply . Usually 2 - 4 loss of power in each area per day )",Mixed,1,1,1,"['primary power source', 'almighty flood', '2 - 4 loss', 'Gosh', 'SA', 'way', 'demand', 'electricity', 'area', 'day']",Gosh
6,6,570064843,amyl_iom,2022-04-11,"Gosh - an almighty flood AND ?! Thinking of you all ( those not in SA , is a way to distribute power when demand for electricity is greater than the primary power source can supply . Usually 2 - 4 loss of power in each area per day )",Mixed,1,1,1,"['primary power source', 'almighty flood', '2 - 4 loss', 'Gosh', 'SA', 'way', 'demand', 'electricity', 'area', 'day']",SA
6,6,570064843,amyl_iom,2022-04-11,"Gosh - an almighty flood AND ?! Thinking of you all ( those not in SA , is a way to distribute power when demand for electricity is greater than the primary power source can supply . Usually 2 - 4 loss of power in each area per day )",Mixed,1,1,1,"['primary power source', 'almighty flood', '2 - 4 loss', 'Gosh', 'SA', 'way', 'demand', 'electricity', 'area', 'day']",way
6,6,570064843,amyl_iom,2022-04-11,"Gosh - an almighty flood AND ?! Thinking of you all ( those not in SA , is a way to distribute power when demand for electricity is greater than the primary power source can supply . Usually 2 - 4 loss of power in each area per day )",Mixed,1,1,1,"['primary power source', 'almighty flood', '2 - 4 loss', 'Gosh', 'SA', 'way', 'demand', 'electricity', 'area', 'day']",demand
