id,sentiment,positive,negative,neutral
1,Negative,0,1,1
2,Neutral,0,0,1
3,Negative,0,1,0
4,Negative,0,1,1
5,Neutral,0,0,2
6,Neutral,0,0,1
7,Negative,0,2,0
8,Negative,0,1,1
9,Negative,0,1,1
10,Negative,0,2,1
11,Negative,0,1,5
12,Positive,3,0,0
13,Neutral,0,0,1
14,Neutral,0,0,4
15,Negative,0,1,1
16,Neutral,0,0,1
17,Negative,0,1,0
18,Neutral,0,0,3
19,Negative,0,2,4
20,Mixed,1,1,1
21,Negative,0,1,1
22,Negative,0,2,1
23,Neutral,0,0,2
24,Negative,0,2,0
25,Neutral,0,0,2
26,Positive,1,0,1
27,Positive,1,0,1
28,Positive,1,0,1
29,Negative,0,3,0
30,Neutral,0,0,1
31,Neutral,0,0,1
32,Neutral,0,0,3
33,Negative,0,1,0
34,Negative,0,1,2
35,Neutral,0,0,2
36,Neutral,0,0,2
37,Neutral,0,0,2
38,Negative,0,1,0
39,Negative,0,1,0
40,Neutral,0,0,5
41,Neutral,0,0,1
42,Negative,0,1,4
43,Negative,0,1,0
44,Negative,0,1,1
45,Positive,1,0,0
46,Neutral,0,0,2
47,Negative,0,2,2
48,Negative,0,1,1
49,Negative,0,1,0
50,Negative,0,1,2
