,user_id,username,date,tweet
0,324546384,pnovelistgale,2022-04-11,Ah well the great fenland of that year are well . Sorry about the traumatic death that goes with them . ( Or have you not got that far …?)
1,1349487822764466189,eastlothiansgp,2022-04-11,"Literally , the are the ONLY party at the local in with an alternative plan to the Council ’ s flood scheme . As on just said to the , we need a flood defence scheme that works for the public ."
2,960830688,bauman65948286,2022-04-11,"With the CO2 already in the sky climate change will continue 2 accelerate . Inland small nuclear will have 2 with flash flooding , onshore with storm by sea level rise & ; nuclear waste a dependable electricity supply / ."
3,1349487822764466189,eastlothiansgp,2022-04-11,Well done to on at the setting our for : affordable housing and better and in green nature - based to flood defence young people in decision making VoteGreen1
4,245511351,grieve51166,2022-04-11,Always in flooding .
5,1249007738044190722,davidro75396348,2022-04-11,"Labour will never see power , don ’ t think the public have forgotten how Labour the country of , can ’ t describe what a is . And betrayal of the public during a vote to leave the EU . Plus a false flag war . Poor up and down the land ."
6,570064843,amyl_iom,2022-04-11,"Gosh - an almighty flood AND ?! Thinking of you all ( those not in SA , is a way to distribute power when demand for electricity is greater than the primary power source can supply . Usually 2 - 4 loss of power in each area per day )"
7,14849333,fitzrik,2022-04-11,"Well looking at the , the vanishing of ice at the , the , . I ' d say it ' s who ' s out of touch . Please educate yourself ."
8,83213523,martynbolt,2022-04-11,Get ambient night noise now Any increase could see council stopping They forced a developer to switch off being used to prevent flooding !!
9,960830688,bauman65948286,2022-04-11,Extreme weather linked 2 & ; r & ; other species much harder than previous . The new study that these r already going beyond the ability of many people 2 cope . 28022022
10,960830688,bauman65948286,2022-04-11,Extreme weather linked 2 & ; r & ; other species much harder than previous . The new study that these r already going beyond the ability of many people 2 cope . 28022022
11,960830688,bauman65948286,2022-04-11,Extreme weather linked 2 & ; r & ; other species much harder than previous . The new study that these r already going beyond the ability of many people 2 cope . 28022022
12,960830688,bauman65948286,2022-04-11,Extreme weather linked 2 & ; r & ; other species much harder than previous . The new study that these r already going beyond the ability of many people 2 cope . 28022022
13,3446146816,riverlevelsuk,2022-04-11,Flood Alert : North Sea coast at 14 : 52 11
14,237524148,gnbcork,2022-04-11,this so well . This is why we need a new park in a flood free area . Lots of new NO ADDED
15,1308699076750454784,battlebuddyrv1,2022-04-11,"I ' m those who have their country to join the challenge of posting a picture of your time in Service . Just a pic , no description . The goal is to flood Twitter with positive instead of negativity . Please copy the text to your ,"
16,1613185784,martincainacton,2022-04-11,A Pen victory will benefit the and not just through withdrawal from the EU . It will be a disaster for the because rather than a few picked up by the Force every day she will flood Channel with their asylum knowing will house them all
0,2823296973,nicholas_tetlow,2020-11-18,"Amazing to think this fish is about 16 old , and despite , , raw sewage and fish - to - eat folk she is still fit and healthy ️️️ checked and unharmed in 2 : 07 . pike fishing PAC"
1,68417138,sallyhcross,2020-11-18,2nd story in in
2,955715357226033152,for_every_helen,2020-11-18,"That ' s beautiful ! Here it is generally severe instead . I suppose that is global heating for all of us , in different ways ."
3,4865168338,screwloose1980,2020-11-18,"Flood at Bridge , Road , 1922"
4,246324373,floodmary,2020-11-18,"Fabulous to see the OX - CAM Pathfinder project coming on a pace ! You can see an excellent example of an non - return valve in the photo . Many of flood and recoverable will be displayed , when it ' s finished ."
5,601892162,br_foundation,2020-11-18,"We ’ re so with the lovely Birthday that have been flooding in , this wonderful message from Bath President , Hall . ️️"
6,1019220962942779392,lbl_racing,2020-11-18,Great video of Flood Defence coming a very close 2nd at last week .
7,949912893729931264,annmari47023026,2020-11-18,"Don ' t you two want to protect your child from climate change ? Stop HS2 our & ; wildlife ! Cancel animal Agriculture ... or see , starvation , , , , antibiotic resistance & ; extinction before your child is old enough to vote !"
8,74977206,jkmanc1974,2020-11-18,Image of the day - in 2009 during the - flood done a great job since
9,1281042793,eric_hawkins9,2020-11-18,"Cyclone in central causing havoc , thousand of , flooding and , so glad we live in a safe climate , where the are the best this year . So important to life"
10,1375433108,stuart_wally,2020-11-18,"No I ’ m struggling to understand the rationale , and can only see defensive flooding their team with more defensive if winning 1 - 0 going into the last 1 / 4 of the game or happy with a 0 - 0"
11,3377000397,mickhumph,2020-11-18,"What a blessing . We have 600 square of flood plain on the . At the bottom if our village . This these away . They are just money , but people can sometimes work ."
12,3446146816,riverlevelsuk,2020-11-18,Flood Warning : North Sea at - Foreshore Road 11 : 26 18
13,26216700,maisymimi,2020-11-18,What is the point in when they just keep flooding in ... I could just stop and run away to a happy place and forget them please .
14,17539285,rcfoster,2020-11-18,"All will laugh at this , by a little sigh then break down in of .."
15,6974632,catfish8888,2020-11-18,rogue This startling revelation came from team - curiously this gem ' t included in flood of to ! Was trying to bury it ? ' s Day 11 cosy media flimflam never revealed the club got booted over £ 800K .
16,74441858,barbosavl,2020-11-18,When part of your scenic running route with your local river Riverside flooding running
17,193413930,27tawnyowl,2020-11-18,"1421 - "" A at the dike , flooding 72 and killing about 10 , 000 people in the ."""
18,13275052,rwnash,2020-11-18,No flooding (@ Central Railway Station ( ) - in )
19,1723426980,mariarushe_,2020-11-18,Over € 300 raised by bedtime last night ! So excited to see how many of care we can raise for the incredible Jack & ; . Help us flood social media with & ; magic on 29th .
20,873972205666873346,carpmanpeter,2020-11-18,Cap ? That is just the start of it . We will need willies to Wade through the of over how much it will cost us . The game is stuck in a loop of so hardly worth it unless change for the better
0,858177372,petagna,2019-01-21,Plenty more unsettled weather for SE next 10 days or so .. Flash flooding possible .
1,864305556,rubyleigh_30,2019-01-21,’ t change the relationship I have with my mum for the world . We are always exactly what the other one needs and always manage to make each other laugh even through of . Sorry being silly but I just had to say it ‍️️
2,609480720,broadreach53,2019-01-21,"Was he a bit relieved when it . There must have been slight that he ' d gone to all that effort if there was no flood ! Quietly , he ' t want to look a right tit in front of the"
3,3446146816,riverlevelsuk,2019-01-21,"Flood Alert : Tidal River at , Pill and 21 : 24 21"
4,295653609,wmpowell2021,2019-01-21,"The effect on Welsh would be catastrophic , flooding the market with lamb in a welfare environment inferior to our own . As a further consequence , it would trigger a culling unprecedented in Welsh history 🇪🇺"
5,3446146816,riverlevelsuk,2019-01-21,Flood Alert : Somerset coast at Weir 18 : 14 21
6,301130101,aidanritchie27,2019-01-21,"93 I ' m convinced every one of us . as captain , Telfer , Willow Flood , and never him , rocking Old with . Just trolling all of us for 4 ."
7,3446146816,riverlevelsuk,2019-01-21,Flood Alert : Coast from to 16 : 00 21
8,3446146816,riverlevelsuk,2019-01-21,Flood Alert : estuary from and End to Little 15 : 59 21
9,3446146816,riverlevelsuk,2019-01-21,Flood Alert : Coast at North Bay 15 : 53 21
10,3446146816,riverlevelsuk,2019-01-21,Flood Alert : Tidal Area at 15 : 58 21
11,3446146816,riverlevelsuk,2019-01-21,Flood Alert : Wye Estuary in 15 : 35 21
12,1601444113,mr_kevin_1997,2019-01-21,"Restoration of autonomy ? I ’ t know the indigenous population to Central where half of them along the way , and then flooding with was “ autonomy ”? But then again the Colorado ( ) are in denial at how barbaric they are"
13,3446146816,riverlevelsuk,2019-01-21,Flood Alert : Estuary at 13 : 07 21
14,37633178,edinburghbooks,2019-01-21,Came in this morning to discover we ' d had a flood from the flat above . section and art badly hit .
15,134092014,hangblaa,2019-01-21,"This is dog - whistling to . It ’ s code for : Soon will ‘ replace ’ the and will be the majority religion in , if we don ’ t stop the ‘ flood ’ of coming in here ."
16,727097757534687232,cubberley_john,2019-01-21,GUT ... 415 GALE 450 EDGE 525 DAN 555 TECHNOLOGICAL 625 FLOOD DEFENCE 655 725 BIG BAD 755 . NAP TODAY 725 . ALSO ARE TOTALLY TOO
17,21089670,ninamartell,2019-01-21,Little bit more let ' s flood it with colour now progress architecture best @
18,966977356081586177,peat_mark,2019-01-21,It ’ t just that did it . Labour up the flood while our EU membership continued to cost us our and public . I will never vote Labour again mainly thanks to like you who ’ t give a arse about your people .
19,1444253772,vicky_gilmour,2019-01-21,I ’ just after 6 sleep stayed up to watch it . And it all comes flooding in how great it was .
0,1663639110,hafsabobat,2020-01-18,"Yes that ' s what the mark scheme . A lot have written flooding and storm though . I don ' t think I can credit this right , since it ' s not weather ...? Low pressure and strong would be fine but not the effect of them ...."
1,1663639110,hafsabobat,2020-01-18,"help in a mental block here . "" Give two of extreme weather associated with tropical "". Flash flooding is not a type of extreme weather right ? What about a storm surge ?"
2,2990273793,coventrypie,2020-01-18,( Hill flooding continued ) The run off from the field abutting the road been a problem for a significant period and the have been unable to deal with the water * from the field - not to mention the vast along the flood route
