Unnamed: 0.1,Unnamed: 0,user_id,username,date,tweet,sentiment,negative_count,positive_count,neutral_count
0,0,324546384,pnovelistgale,2022-04-11,Ah well the great fenland of that year are well . Sorry about the traumatic death that goes with them . ( Or have you not got that far …?),Mixed,1,1,1
6,6,570064843,amyl_iom,2022-04-11,"Gosh - an almighty flood AND ?! Thinking of you all ( those not in SA , is a way to distribute power when demand for electricity is greater than the primary power source can supply . Usually 2 - 4 loss of power in each area per day )",Mixed,1,1,1
16,16,1613185784,martincainacton,2022-04-11,A Pen victory will benefit the and not just through withdrawal from the EU . It will be a disaster for the because rather than a few picked up by the Force every day she will flood Channel with their asylum knowing will house them all,Mixed,1,1,0
19,2,955715357226033152,for_every_helen,2020-11-18,"That ' s beautiful ! Here it is generally severe instead . I suppose that is global heating for all of us , in different ways .",Mixed,1,1,1
24,7,949912893729931264,annmari47023026,2020-11-18,"Don ' t you two want to protect your child from climate change ? Stop HS2 our & ; wildlife ! Cancel animal Agriculture ... or see , starvation , , , , antibiotic resistance & ; extinction before your child is old enough to vote !",Mixed,2,2,2
32,15,6974632,catfish8888,2020-11-18,rogue This startling revelation came from team - curiously this gem ' t included in flood of to ! Was trying to bury it ? ' s Day 11 cosy media flimflam never revealed the club got booted over £ 800K .,Mixed,1,1,1
39,1,864305556,rubyleigh_30,2019-01-21,’ t change the relationship I have with my mum for the world . We are always exactly what the other one needs and always manage to make each other laugh even through of . Sorry being silly but I just had to say it ‍️️,Mixed,1,1,1
56,18,966977356081586177,peat_mark,2019-01-21,It ’ t just that did it . Labour up the flood while our EU membership continued to cost us our and public . I will never vote Labour again mainly thanks to like you who ’ t give a arse about your people .,Mixed,1,1,1
124,10,41839007,rossihancock,2020-12-08,Thanks for flooding my garage / gym through your own error . Exactly the phone call I hoped to receive from my wife at work,Mixed,1,1,0
131,17,1173613725082894337,f15jcm,2020-12-08,"Yep . , the boss also a big stake which I like . As soon as government support I think the flood will open . Even if I ' m wrong the downside ' t look too bad .",Mixed,1,2,1
158,0,77723007,amunra1h,2021-08-11,"Noticeable the "" expert "" away . to rely on failure to record / certificate the of flood , and that a peeved curator , with 1 of his ( Time of Peace ), had no humanity for publicly .. And photo expert !!",Mixed,1,1,1
