Unnamed: 0.1,Unnamed: 0,user_id,username,date,tweet,sentiment,negative_count,positive_count,neutral_count
5,5,1249007738044190722,davidro75396348,2022-04-11,"Labour will never see power , don ’ t think the public have forgotten how Labour the country of , can ’ t describe what a is . And betrayal of the public during a vote to leave the EU . Plus a false flag war . Poor up and down the land .",Negative,4,0,0
8,8,83213523,martynbolt,2022-04-11,Get ambient night noise now Any increase could see council stopping They forced a developer to switch off being used to prevent flooding !!,Negative,1,0,0
9,9,960830688,bauman65948286,2022-04-11,Extreme weather linked 2 & ; r & ; other species much harder than previous . The new study that these r already going beyond the ability of many people 2 cope . 28022022,Negative,1,0,4
10,10,960830688,bauman65948286,2022-04-11,Extreme weather linked 2 & ; r & ; other species much harder than previous . The new study that these r already going beyond the ability of many people 2 cope . 28022022,Negative,1,0,4
11,11,960830688,bauman65948286,2022-04-11,Extreme weather linked 2 & ; r & ; other species much harder than previous . The new study that these r already going beyond the ability of many people 2 cope . 28022022,Negative,1,0,4
12,12,960830688,bauman65948286,2022-04-11,Extreme weather linked 2 & ; r & ; other species much harder than previous . The new study that these r already going beyond the ability of many people 2 cope . 28022022,Negative,1,0,4
15,15,1308699076750454784,battlebuddyrv1,2022-04-11,"I ' m those who have their country to join the challenge of posting a picture of your time in Service . Just a pic , no description . The goal is to flood Twitter with positive instead of negativity . Please copy the text to your ,",Negative,2,0,2
34,17,193413930,27tawnyowl,2020-11-18,"1421 - "" A at the dike , flooding 72 and killing about 10 , 000 people in the .""",Negative,1,0,0
37,20,873972205666873346,carpmanpeter,2020-11-18,Cap ? That is just the start of it . We will need willies to Wade through the of over how much it will cost us . The game is stuck in a loop of so hardly worth it unless change for the better,Negative,1,0,3
38,0,858177372,petagna,2019-01-21,Plenty more unsettled weather for SE next 10 days or so .. Flash flooding possible .,Negative,1,0,1
40,2,609480720,broadreach53,2019-01-21,"Was he a bit relieved when it . There must have been slight that he ' d gone to all that effort if there was no flood ! Quietly , he ' t want to look a right tit in front of the",Negative,1,0,2
42,4,295653609,wmpowell2021,2019-01-21,"The effect on Welsh would be catastrophic , flooding the market with lamb in a welfare environment inferior to our own . As a further consequence , it would trigger a culling unprecedented in Welsh history 🇪🇺",Negative,2,0,0
50,12,1601444113,mr_kevin_1997,2019-01-21,"Restoration of autonomy ? I ’ t know the indigenous population to Central where half of them along the way , and then flooding with was “ autonomy ”? But then again the Colorado ( ) are in denial at how barbaric they are",Negative,1,0,2
52,14,37633178,edinburghbooks,2019-01-21,Came in this morning to discover we ' d had a flood from the flat above . section and art badly hit .,Negative,2,0,0
54,16,727097757534687232,cubberley_john,2019-01-21,GUT ... 415 GALE 450 EDGE 525 DAN 555 TECHNOLOGICAL 625 FLOOD DEFENCE 655 725 BIG BAD 755 . NAP TODAY 725 . ALSO ARE TOTALLY TOO,Negative,1,0,3
58,0,1663639110,hafsabobat,2020-01-18,"Yes that ' s what the mark scheme . A lot have written flooding and storm though . I don ' t think I can credit this right , since it ' s not weather ...? Low pressure and strong would be fine but not the effect of them ....",Negative,1,0,3
60,2,2990273793,coventrypie,2020-01-18,( Hill flooding continued ) The run off from the field abutting the road been a problem for a significant period and the have been unable to deal with the water * from the field - not to mention the vast along the flood route,Negative,2,0,0
61,3,3958973973,amor_wilkes,2020-01-18,"Am I missing something here , as the waste is all water it will all run into the sea and the sea will overflow and flood low lying land ?",Negative,1,0,0
79,1,22777721,eileenkelly33,2018-09-05,What is not happening ! Flood alleviation a flood by a water main in Road closed today and may not be open until after the weekend !,Negative,1,0,1
80,2,173846043,coffeeneedednow,2018-09-05,"’ t ask for yet ANOTHER hectic day . On set , a toilet was , a flood , through the roof and cut off the . LATER , train by 1 hour . at work . Need to be up by 7 .",Negative,2,0,3
81,3,303999750,andynbrown16,2018-09-05,Without a shadow of doubt engagement is 1 of the MOST key of flood risk . the central piece of the ( or mosaic if you prefer !),Negative,1,0,1
83,5,331485453,a_s_rich,2018-09-05,Yeah me too . Thankfully they had a spillway last time we had a century flood so not as much damage . But still not passable .,Negative,2,0,1
86,8,2899652613,barelyonfire,2018-09-05,"the tea is that y ’ all will be flooding famous drag when they tweet something cryptic or sad , but refuse to check up on your actual when they ’ re not doing too good ️",Negative,1,0,0
88,10,593756033,dailysurrey,2018-09-05,Crawley after burst water main road to flood,Negative,1,0,0
