Unnamed: 0.1,Unnamed: 0,user_id,username,date,tweet,sentiment,negative_count,positive_count,neutral_count
1,1,1349487822764466189,eastlothiansgp,2022-04-11,"Literally , the are the ONLY party at the local in with an alternative plan to the Council ’ s flood scheme . As on just said to the , we need a flood defence scheme that works for the public .",Neutral,0,0,2
4,4,245511351,grieve51166,2022-04-11,Always in flooding .,Neutral,0,0,1
13,13,3446146816,riverlevelsuk,2022-04-11,Flood Alert : North Sea coast at 14 : 52 11,Neutral,0,0,1
20,3,4865168338,screwloose1980,2020-11-18,"Flood at Bridge , Road , 1922",Neutral,0,0,1
29,12,3446146816,riverlevelsuk,2020-11-18,Flood Warning : North Sea at - Foreshore Road 11 : 26 18,Neutral,0,0,1
33,16,74441858,barbosavl,2020-11-18,When part of your scenic running route with your local river Riverside flooding running,Neutral,0,0,1
35,18,13275052,rwnash,2020-11-18,No flooding (@ Central Railway Station ( ) - in ),Neutral,0,0,1
41,3,3446146816,riverlevelsuk,2019-01-21,"Flood Alert : Tidal River at , Pill and 21 : 24 21",Neutral,0,0,1
43,5,3446146816,riverlevelsuk,2019-01-21,Flood Alert : Somerset coast at Weir 18 : 14 21,Neutral,0,0,1
44,6,301130101,aidanritchie27,2019-01-21,"93 I ' m convinced every one of us . as captain , Telfer , Willow Flood , and never him , rocking Old with . Just trolling all of us for 4 .",Neutral,0,0,3
45,7,3446146816,riverlevelsuk,2019-01-21,Flood Alert : Coast from to 16 : 00 21,Neutral,0,0,1
46,8,3446146816,riverlevelsuk,2019-01-21,Flood Alert : estuary from and End to Little 15 : 59 21,Neutral,0,0,1
47,9,3446146816,riverlevelsuk,2019-01-21,Flood Alert : Coast at North Bay 15 : 53 21,Neutral,0,0,1
48,10,3446146816,riverlevelsuk,2019-01-21,Flood Alert : Tidal Area at 15 : 58 21,Neutral,0,0,1
49,11,3446146816,riverlevelsuk,2019-01-21,Flood Alert : Wye Estuary in 15 : 35 21,Neutral,0,0,1
51,13,3446146816,riverlevelsuk,2019-01-21,Flood Alert : Estuary at 13 : 07 21,Neutral,0,0,1
53,15,134092014,hangblaa,2019-01-21,"This is dog - whistling to . It ’ s code for : Soon will ‘ replace ’ the and will be the majority religion in , if we don ’ t stop the ‘ flood ’ of coming in here .",Neutral,0,0,2
62,4,2990273793,coventrypie,2020-01-18,- hi Mark - I am sure you are aware of the constant flooding which is again this weekend at the Hill / Road junction - please can you use you good to intervene to get a solution to the ongoing ?- ( ),Neutral,0,0,1
64,6,3446146816,riverlevelsuk,2020-01-18,Flood Alert : 20 : 25 18,Neutral,0,0,1
65,7,3446146816,riverlevelsuk,2020-01-18,Flood Alert : Lower River at the River confluence at 20 : 25 18,Neutral,0,0,1
66,8,3446146816,riverlevelsuk,2020-01-18,"Flood Alert : River for , Lower and 20 : 25 18",Neutral,0,0,1
67,9,3446146816,riverlevelsuk,2020-01-18,"Flood Alert : River for , , and its 20 : 25 18",Neutral,0,0,1
68,10,3446146816,riverlevelsuk,2020-01-18,Flood Alert : River from to 20 : 25 18,Neutral,0,0,1
69,11,3446146816,riverlevelsuk,2020-01-18,Flood Alert : River from Hurley to 20 : 25 18,Neutral,0,0,1
70,12,3446146816,riverlevelsuk,2020-01-18,Flood Alert : River from to Green 20 : 25 18,Neutral,0,0,1
71,13,3446146816,riverlevelsuk,2020-01-18,Flood Alert : Upper River Wey 20 : 25 18,Neutral,0,0,1
72,14,3446146816,riverlevelsuk,2020-01-18,Flood Alert : River and its from Upper down to 19 : 38 18,Neutral,0,0,1
73,15,3446146816,riverlevelsuk,2020-01-18,Flood Alert : River Ray and its from Lee to and 19 : 38 18,Neutral,0,0,1
74,16,3446146816,riverlevelsuk,2020-01-18,Flood Alert : River and Brook 19 : 38 18,Neutral,0,0,1
75,17,3446146816,riverlevelsuk,2020-01-18,Flood Alert : River and its small from to 19 : 39 18,Neutral,0,0,1
76,18,3446146816,riverlevelsuk,2020-01-18,Flood Alert : River and from Wick down to Lock 19 : 39 18,Neutral,0,0,1
77,19,3446146816,riverlevelsuk,2020-01-18,Flood Alert : River from to 19 : 39 18,Neutral,0,0,1
78,0,568349106,lawt_d,2018-09-05,"“ There is a tide in the of men , Which taken at the flood , on to fortune . , all the voyage of their life is bound in shallows and in . On such a full sea are we now afloat .” It ’ s now or never !",Neutral,0,0,4
84,6,461945920,wanderingian,2018-09-05,"Hi , suggest you need to make sure all the in March are clear . What are you ’ re to prevent flooding in Fenland this autumn / winter ?",Neutral,0,0,2
90,12,2498871378,greenbeltsal,2018-09-05,How Union most probably the extra flooding by Hellish on,Neutral,0,0,1
91,13,426740892,iaing81,2018-09-05,Tropical Storm made landfall in and will now move slowly over the next few days . I think rain will be very high with flooding .,Neutral,0,0,2
92,14,468510569,bae_bristol,2018-09-05,"sale HEAD OVER TO OUR NOW ! Stock clearance and sale available . When they ' re gone , they are gone . Blaze Delta Design LED Scene Flood Work and much more !",Neutral,0,0,4
95,1,721758440482349056,s0memonsoon,2017-03-25,when your you so much and you end up in of,Neutral,0,0,1
96,2,2647531160,triboseat,2017-03-25,can anyone else see the fox shape of the flood lit track,Neutral,0,0,1
101,7,531367880,hamish_ellis,2017-03-25,Sunny day in rehearsal . Flood Hull17,Neutral,0,0,2
102,8,3446146816,riverlevelsuk,2017-03-25,Flood Alert : River and its 14 : 38 24 March,Neutral,0,0,1
105,11,117595462,djmarkkavanagh,2017-03-25,Am in and the are flooding back . I don ' t recall the bar …,Neutral,0,0,2
107,13,238533275,stephdufc83,2017-03-25,Just send flood off eh . He ' s,Neutral,0,0,2
109,15,238533275,stephdufc83,2017-03-25,Flood ' t cross a road .,Neutral,0,0,1
110,16,3446146816,riverlevelsuk,2017-03-25,Flood Alert : Upper River 09 : 59 25 March,Neutral,0,0,1
111,17,3446146816,riverlevelsuk,2017-03-25,"Flood Alert : , and 10 : 55 23 March",Neutral,0,0,1
112,18,3446146816,riverlevelsuk,2017-03-25,"Flood Alert : , and 10 : 55 23 March",Neutral,0,0,1
113,19,3446146816,riverlevelsuk,2017-03-25,Flood Alert : Tidal River 10 : 03 25 March,Neutral,0,0,1
116,2,546727841,matthewhicks13,2020-12-08,"I ' d say they have something to do with flood mitigation , which was the landowner ' s justification for doing it .",Neutral,0,0,1
119,5,17949485,rossmcgill,2020-12-08,Tried to play around with the shower taps !!!! Think and flood ...,Neutral,0,0,2
125,11,239980914,watterloony,2020-12-08,Flood in photo yet !,Neutral,0,0,1
127,13,301692393,openairend,2020-12-08,flooding back already ....,Neutral,0,0,1
129,15,14141164,jamesshoebottom,2020-12-08,My a short walk around boating lake by .,Neutral,0,0,1
136,22,246324373,floodmary,2020-12-08,So is adaptation to speed up flood recovery the answer ?,Neutral,0,0,1
138,0,3446146816,riverlevelsuk,2017-02-08,Flood Alert : South 10 : 26 7,Neutral,0,0,1
139,1,401623819,khiajourno,2017-02-08,got me in of,Neutral,0,0,1
140,2,3446146816,riverlevelsuk,2017-02-08,Flood Alert : River and its 08 : 37 8,Neutral,0,0,1
146,8,174275363,rossimcneil,2017-02-08,"I hope all the joey land , flood , service charge .. could go on , that I already had , get used",Neutral,0,0,2
147,9,63105565,joshhad,2017-02-08,""" , and as climate change "":",Neutral,0,0,1
