Unnamed: 0.1,Unnamed: 0,user_id,username,date,tweet,sentiment,negative_count,positive_count,neutral_count
2,2,960830688,bauman65948286,2022-04-11,"With the CO2 already in the sky climate change will continue 2 accelerate . Inland small nuclear will have 2 with flash flooding , onshore with storm by sea level rise & ; nuclear waste a dependable electricity supply / .",Positive,0,1,2
3,3,1349487822764466189,eastlothiansgp,2022-04-11,Well done to on at the setting our for : affordable housing and better and in green nature - based to flood defence young people in decision making VoteGreen1,Positive,0,1,0
7,7,14849333,fitzrik,2022-04-11,"Well looking at the , the vanishing of ice at the , the , . I ' d say it ' s who ' s out of touch . Please educate yourself .",Positive,0,1,2
14,14,237524148,gnbcork,2022-04-11,this so well . This is why we need a new park in a flood free area . Lots of new NO ADDED,Positive,0,2,1
17,0,2823296973,nicholas_tetlow,2020-11-18,"Amazing to think this fish is about 16 old , and despite , , raw sewage and fish - to - eat folk she is still fit and healthy ️️️ checked and unharmed in 2 : 07 . pike fishing PAC",Positive,0,1,1
18,1,68417138,sallyhcross,2020-11-18,2nd story in in,Positive,0,1,0
21,4,246324373,floodmary,2020-11-18,"Fabulous to see the OX - CAM Pathfinder project coming on a pace ! You can see an excellent example of an non - return valve in the photo . Many of flood and recoverable will be displayed , when it ' s finished .",Positive,0,2,1
22,5,601892162,br_foundation,2020-11-18,"We ’ re so with the lovely Birthday that have been flooding in , this wonderful message from Bath President , Hall . ️️",Positive,0,1,0
23,6,1019220962942779392,lbl_racing,2020-11-18,Great video of Flood Defence coming a very close 2nd at last week .,Positive,0,1,0
25,8,74977206,jkmanc1974,2020-11-18,Image of the day - in 2009 during the - flood done a great job since,Positive,0,1,0
26,9,1281042793,eric_hawkins9,2020-11-18,"Cyclone in central causing havoc , thousand of , flooding and , so glad we live in a safe climate , where the are the best this year . So important to life",Positive,0,2,0
27,10,1375433108,stuart_wally,2020-11-18,"No I ’ m struggling to understand the rationale , and can only see defensive flooding their team with more defensive if winning 1 - 0 going into the last 1 / 4 of the game or happy with a 0 - 0",Positive,0,1,0
28,11,3377000397,mickhumph,2020-11-18,"What a blessing . We have 600 square of flood plain on the . At the bottom if our village . This these away . They are just money , but people can sometimes work .",Positive,0,1,4
30,13,26216700,maisymimi,2020-11-18,What is the point in when they just keep flooding in ... I could just stop and run away to a happy place and forget them please .,Positive,0,1,1
31,14,17539285,rcfoster,2020-11-18,"All will laugh at this , by a little sigh then break down in of ..",Positive,0,1,0
36,19,1723426980,mariarushe_,2020-11-18,Over € 300 raised by bedtime last night ! So excited to see how many of care we can raise for the incredible Jack & ; . Help us flood social media with & ; magic on 29th .,Positive,0,3,1
