id,sentiment,positive,negative,neutral
1,Mixed,1,1,1
2,Neutral,0,0,2
3,Positive,1,0,2
4,Positive,1,0,0
5,Neutral,0,0,1
6,Negative,0,4,0
7,Mixed,1,1,1
8,Positive,1,0,2
9,Negative,0,1,0
10,Negative,0,1,4
11,Negative,0,1,4
12,Negative,0,1,4
13,Negative,0,1,4
14,Neutral,0,0,1
15,Positive,2,0,1
16,Negative,0,2,2
17,Mixed,1,1,0
18,Positive,1,0,1
19,Positive,1,0,0
20,Mixed,1,1,1
21,Neutral,0,0,1
22,Positive,2,0,1
23,Positive,1,0,0
24,Positive,1,0,0
25,Mixed,2,2,2
26,Positive,1,0,0
27,Positive,2,0,0
28,Positive,1,0,0
29,Positive,1,0,4
30,Neutral,0,0,1
31,Positive,1,0,1
32,Positive,1,0,0
33,Mixed,1,1,1
34,Neutral,0,0,1
35,Negative,0,1,0
36,Neutral,0,0,1
37,Positive,3,0,1
38,Negative,0,1,3
39,Negative,0,1,1
40,Mixed,1,1,1
41,Negative,0,1,2
42,Neutral,0,0,1
43,Negative,0,2,0
44,Neutral,0,0,1
45,Neutral,0,0,3
46,Neutral,0,0,1
47,Neutral,0,0,1
48,Neutral,0,0,1
49,Neutral,0,0,1
50,Neutral,0,0,1
51,Negative,0,1,2
52,Neutral,0,0,1
53,Negative,0,2,0
54,Neutral,0,0,2
55,Negative,0,1,3
56,Positive,1,0,1
57,Mixed,1,1,1
58,Positive,1,0,1
59,Negative,0,1,3
60,Positive,1,0,3
61,Negative,0,2,0
62,Negative,0,1,0
63,Neutral,0,0,1
64,Positive,1,0,0
65,Neutral,0,0,1
66,Neutral,0,0,1
67,Neutral,0,0,1
68,Neutral,0,0,1
69,Neutral,0,0,1
70,Neutral,0,0,1
71,Neutral,0,0,1
72,Neutral,0,0,1
73,Neutral,0,0,1
74,Neutral,0,0,1
75,Neutral,0,0,1
76,Neutral,0,0,1
77,Neutral,0,0,1
78,Neutral,0,0,1
79,Neutral,0,0,4
80,Negative,0,1,1
81,Negative,0,2,3
82,Negative,0,1,1
83,Positive,1,0,6
84,Negative,0,2,1
85,Neutral,0,0,2
86,Positive,1,0,1
87,Negative,0,1,0
88,Positive,1,0,0
89,Negative,0,1,0
90,Negative,0,1,2
91,Neutral,0,0,1
92,Neutral,0,0,2
93,Neutral,0,0,4
94,Positive,1,0,1
95,Positive,1,0,0
96,Neutral,0,0,1
97,Neutral,0,0,1
98,Negative,0,1,0
99,Negative,0,1,0
100,Negative,0,1,0
101,Positive,1,0,2
102,Neutral,0,0,2
103,Neutral,0,0,1
104,Negative,0,1,1
105,Positive,1,0,2
106,Neutral,0,0,2
107,Negative,0,1,0
108,Neutral,0,0,2
109,Positive,1,0,0
110,Neutral,0,0,1
111,Neutral,0,0,1
112,Neutral,0,0,1
113,Neutral,0,0,1
114,Neutral,0,0,1
115,Positive,1,0,2
116,Negative,0,1,1
117,Neutral,0,0,1
118,Positive,3,0,0
119,Negative,0,1,2
120,Neutral,0,0,2
121,Negative,0,1,0
122,Negative,0,1,1
123,Negative,0,2,4
124,Negative,0,1,2
125,Mixed,1,1,0
126,Neutral,0,0,1
127,Negative,0,1,0
128,Neutral,0,0,1
129,Negative,0,2,1
130,Neutral,0,0,1
131,Negative,0,1,0
132,Mixed,2,1,1
133,Positive,1,0,0
134,Negative,0,1,2
135,Positive,1,0,3
136,Positive,1,0,1
137,Neutral,0,0,1
138,Negative,0,2,1
139,Neutral,0,0,1
140,Neutral,0,0,1
141,Neutral,0,0,1
142,Positive,1,0,1
143,Negative,0,1,0
144,Positive,1,0,1
145,Negative,0,1,0
146,Positive,1,0,0
