,Unnamed: 0,user_id,username,date,tweet,sentiment,negative_count,positive_count,neutral_count
0,0,324546384,pnovelistgale,2022-04-11,Ah well the great fenland of that year are well . Sorry about the traumatic death that goes with them . ( Or have you not got that far …?),Mixed,1,1,1
1,1,1349487822764466189,eastlothiansgp,2022-04-11,"Literally , the are the ONLY party at the local in with an alternative plan to the Council ’ s flood scheme . As on just said to the , we need a flood defence scheme that works for the public .",Neutral,0,0,2
2,2,960830688,bauman65948286,2022-04-11,"With the CO2 already in the sky climate change will continue 2 accelerate . Inland small nuclear will have 2 with flash flooding , onshore with storm by sea level rise & ; nuclear waste a dependable electricity supply / .",Positive,0,1,2
3,3,1349487822764466189,eastlothiansgp,2022-04-11,Well done to on at the setting our for : affordable housing and better and in green nature - based to flood defence young people in decision making VoteGreen1,Positive,0,1,0
4,4,245511351,grieve51166,2022-04-11,Always in flooding .,Neutral,0,0,1
5,5,1249007738044190722,davidro75396348,2022-04-11,"Labour will never see power , don ’ t think the public have forgotten how Labour the country of , can ’ t describe what a is . And betrayal of the public during a vote to leave the EU . Plus a false flag war . Poor up and down the land .",Negative,4,0,0
6,6,570064843,amyl_iom,2022-04-11,"Gosh - an almighty flood AND ?! Thinking of you all ( those not in SA , is a way to distribute power when demand for electricity is greater than the primary power source can supply . Usually 2 - 4 loss of power in each area per day )",Mixed,1,1,1
7,7,14849333,fitzrik,2022-04-11,"Well looking at the , the vanishing of ice at the , the , . I ' d say it ' s who ' s out of touch . Please educate yourself .",Positive,0,1,2
8,8,83213523,martynbolt,2022-04-11,Get ambient night noise now Any increase could see council stopping They forced a developer to switch off being used to prevent flooding !!,Negative,1,0,0
9,9,960830688,bauman65948286,2022-04-11,Extreme weather linked 2 & ; r & ; other species much harder than previous . The new study that these r already going beyond the ability of many people 2 cope . 28022022,Negative,1,0,4
10,10,960830688,bauman65948286,2022-04-11,Extreme weather linked 2 & ; r & ; other species much harder than previous . The new study that these r already going beyond the ability of many people 2 cope . 28022022,Negative,1,0,4
11,11,960830688,bauman65948286,2022-04-11,Extreme weather linked 2 & ; r & ; other species much harder than previous . The new study that these r already going beyond the ability of many people 2 cope . 28022022,Negative,1,0,4
12,12,960830688,bauman65948286,2022-04-11,Extreme weather linked 2 & ; r & ; other species much harder than previous . The new study that these r already going beyond the ability of many people 2 cope . 28022022,Negative,1,0,4
13,13,3446146816,riverlevelsuk,2022-04-11,Flood Alert : North Sea coast at 14 : 52 11,Neutral,0,0,1
14,14,237524148,gnbcork,2022-04-11,this so well . This is why we need a new park in a flood free area . Lots of new NO ADDED,Positive,0,2,1
15,15,1308699076750454784,battlebuddyrv1,2022-04-11,"I ' m those who have their country to join the challenge of posting a picture of your time in Service . Just a pic , no description . The goal is to flood Twitter with positive instead of negativity . Please copy the text to your ,",Negative,2,0,2
16,16,1613185784,martincainacton,2022-04-11,A Pen victory will benefit the and not just through withdrawal from the EU . It will be a disaster for the because rather than a few picked up by the Force every day she will flood Channel with their asylum knowing will house them all,Mixed,1,1,0
